Code,Title CN,Title EN,Issues
S3-80,勇於領導,Dare to Lead  Brave Work Tough Conversations-Whole Hearts,Missing ISBN ZH | Author Detailed Bio Missing
S3-81,向生命說 YES 兒Man's,Search for Meaning  Experiences in a Concentration Camp,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-82,超越恐懼的大魔法,Big Magic Creative Living Beyond Fear,Missing ISBN ZH | Author Detailed Bio Missing
S3-83,人生四千個禮拜,Four Thousand Weeks  Time Management for Mortals,Missing ISBN ZH | Author Detailed Bio Missing
S3-84,微小美麗的事物,Tiny Beautiful Things  Advice on Love and Life,Missing ISBN ZH | Author Detailed Bio Missing
S3-85,怎樣解題,How to Solve It  Methods of Mathematical Problem Solving,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-86,如果我的父母是控制狂,If You Had Controlling Parents  How to Make Peace with Your Past and Take Your Plac,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-87,深度工作力,Deep Work  Rules for Focused Success in a Distracted World,Missing ISBN ZH
S3-88,同理心對話,We Need to Talk   How to Have Conversations That Matter,Missing ISBN ZH | Author Detailed Bio Missing
S3-89,如何停止傷自己的心,How to Stop Breaking Your Own Heart,Missing ISBN ZH | Author Detailed Bio Missing
S3-90,步步為贏,Your Next Five Moves   Master the Art of Business Strategy,Missing ISBN ZH | Author Detailed Bio Missing
S3-91,專注力協定,Indistractable  Guide to Controlling Your Attention and Life,Missing ISBN ZH | Missing ISBN EN
S3-92,內在專注力的節奏,Attention Span,Missing ISBN ZH
S3-93,專注的力量,The Power of Concentration   Theron Q  Dumont,Missing ISBN ZH | Missing ISBN EN
S3-94,聚焦一件事,The ONE Thing  Achieve Extraordinary Results,Missing ISBN ZH | Missing ISBN EN
S3-95,專注的力量Focus,The Hidden Driver of Excellence,Missing ISBN ZH
S3-96,誰偷走了你的專注力Stolen,Focus  Why You Can't Pay Attention,Missing ISBN ZH
S3-97,是誰偷了我的專注力The,Wandering Mind  What Medieval Monks Tell Us About Distraction,Missing ISBN ZH
S3-98,說理,Thank You for Arguing,Missing ISBN ZH | Author Detailed Bio Missing
S3-99,正面思考的再思,Rethinking Positive Thinking Inside the New Science of Motivation,Missing ISBN ZH | Author Detailed Bio Missing
S3-100,頂尖領導者的行動清單,The Leader's Checklist,Missing ISBN ZH
S3-101,重要性評估,Measure What Matters  How Google and Others Apply OKRs,Missing ISBN ZH | Missing ISBN EN
S4-01,時間悖論,The Time Paradox,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S4-02,重要事，明天做,Do It Tomorrow,Missing ISBN EN | Author 'Mark Forster' not in authors.json
S4-03,Do the Hard Things First,Do the Hard Things First,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Scott Allan' not in authors.json
S4-04,真堅強,Do Hard Things,Missing ISBN ZH | Missing ISBN EN | Author 'Steve Magness' not in authors.json
S4-05,立即行動！有效時間管理技巧,Effective Time Management and Productivity,Missing ISBN ZH | Missing ISBN EN | Author 'Tracy Weaver' not in authors.json
S4-06,心智管理而非時間管理,"Mind Management, Not Time Management",Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S4-07,拖延心理學：戰勝拖延症,"The Now Habit at Work: Efficiency, Balance, and Focus",Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S4-08,80/20 生活法則,80/20 Your Life: Maximize Results with Minimal Effort,Missing ISBN ZH | Missing ISBN EN | Author 'Damon Zahariades' not in authors.json
S4-09,時間管理：高效人士的 10 個習慣,Time Management,Missing ISBN ZH | Missing ISBN EN | Author 'Geoffrey Lucas' not in authors.json
S4-10,完成你所開始的,Finish What You Start: The Art of Following Through,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S4-11,Betting on You,Betting on You,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Laurie Ruettimann' not in authors.json
S4-12,HBR 工作聰明系列,HBR Work Smart Collection,Missing ISBN ZH | Missing ISBN EN | Author 'HBR' not in authors.json
S4-13,十倍勝，絕不單靠運氣,Great by Choice,Missing ISBN EN | Author 'Jim Collins' not in authors.json
S4-14,沒人在乎你的職涯,Nobody Cares About Your Career,Missing ISBN EN | Author 'Erika Ayers Badan' not in authors.json
S4-15,一流的人如何保持顛峰,Peak Performance,Missing ISBN EN | Author 'Brad Stulberg & Steve Magness' not in authors.json
S4-16,Peak Performance,"Peak Performance: Stress, Rest, and Sustainable Success",Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Fitness Academy' not in authors.json
S4-17,生物駭客：更聰明而非更費力,Smarter Not Harder: Biohacks for Effortless Energy and Performance,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S4-18,這一切始於你自己,"It Begins with You: Relationships, Patterns, and Healing",Missing ISBN ZH | Missing ISBN EN | Author 'Jillian Turecki' not in authors.json
S4-19,恐懼，是保護你的天賦,The Gift of Fear,Missing ISBN EN | Author 'Gavin De Becker' not in authors.json
S4-20,批判性思考：良好的推理基礎,Critical Thinking: The Basics of Good Reasoning,Missing ISBN ZH | Missing ISBN EN | Author 'Jamie Carlin Watson' not in authors.json
S4-21,21世紀的21堂課,21 Lessons for the 21st Century,Missing ISBN EN
S4-22,,Laziness Does Not Exist,Missing Title CN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S4-23,,Authentic Happiness,Missing Title CN | Missing ISBN ZH | Missing ISBN EN | Author 'Martin E. P. Seligman' not in authors.json
S4-24,,Everything Happens for a Reason,Missing Title CN | Missing ISBN ZH | Missing ISBN EN | Author 'Kate Bowler' not in authors.json
S4-25,,25 Need-to-Know MBA Models,Missing Title CN | Missing ISBN ZH | Missing ISBN EN | Author 'Ken Mark' not in authors.json
S4-26,,Never Split the Difference,Missing Title CN | Missing ISBN ZH | Missing ISBN EN
S4-27,,The Art of Seduction,Missing Title CN | Missing ISBN ZH | Missing ISBN EN
S4-28,,Limitless Mind,Missing Title CN | Missing ISBN ZH | Missing ISBN EN | Author 'Jo Boaler' not in authors.json
S4-29,,Intelligence: A Very Short Introduction,Missing Title CN | Missing ISBN ZH | Missing ISBN EN | Author 'Ian J. Deary' not in authors.json
S4-30,,"Blue Ocean Strategy, Expanded Edition",Missing Title CN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S4-31,無限的開始：世界進步的本源,The Beginning of Infinity,Missing ISBN EN | Author 'David Deutsch' not in authors.json
S4-32,打造第二大腦,Building a Second Brain,Missing ISBN EN | Author Detailed Bio Missing
S4-33,把成功變成習慣,The Achievement Habit,Missing ISBN EN | Author 'Bernard Roth' not in authors.json
S4-34,Story 10x：化不可能為必然,Story 10x: Turn the Impossible Into the Inevitable,Missing ISBN ZH | Missing ISBN EN | Author 'Michael Margolis' not in authors.json
S4-35,成長型文化,Cultures of Growth,Missing ISBN EN | Author 'Mary C. Murphy' not in authors.json
S4-36,正道領導,High Road Leadership,Missing ISBN EN
S4-37,聖經 (領導力版),Maxwell Leadership Bible,Missing ISBN EN
S4-38,十倍勝法則,The 10X Rule,Missing ISBN EN | Author Detailed Bio Missing
S4-39,好策略、壞策略,Good Strategy/Bad Strategy,Missing ISBN EN | Author Detailed Bio Missing
S4-40,別自個兒用餐,Never Eat Alone,Missing ISBN EN | Author Detailed Bio Missing
S4-41,簡單致富,The Simple Path to Wealth,Missing ISBN EN | Author Detailed Bio Missing
S4-42,Be a Millionaire Next Year,Be a Millionaire Next Year,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Michael R. Berg' not in authors.json
S4-43,Financial Joy 2.0,Financial Joy 2.0,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Sean Seah' not in authors.json
S4-44,持續買進,Just Keep Buying,Missing ISBN EN | Author Detailed Bio Missing
S4-45,You Deserve to Be Rich,You Deserve to Be Rich,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Rashad Bilal' not in authors.json
S4-46,致富心態：關於財富、貪婪與幸福的20堂理財課,The Psychology of Money,Missing ISBN EN
S4-47,為什麼激勵人心沒用,Why Motivating People Doesn't Work,Missing ISBN EN | Author Detailed Bio Missing
S4-48,共創式領導,Co-Active Leadership,Missing ISBN EN | Author 'Karen Kimsey-House' not in authors.json
S4-49,讓人無法拒絕的神奇字眼,Exactly What to Say,Missing ISBN EN | Author 'Phil M Jones' not in authors.json
S4-50,兆元教練,Trillion Dollar Coach,Missing ISBN EN
S4-51,僕人式領導,Servant Leadership,Missing ISBN EN | Author 'Larry W. Boone' not in authors.json
S4-52,成功 101,Success 101,Missing ISBN EN
S4-53,雜訊：人類判斷的缺陷,Noise: A Flaw in Human Judgment,Missing ISBN EN
S4-54,誰說人是理性的！,Predictably Irrational,Missing ISBN EN
S4-55,Poor Numbers,Poor Numbers,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Morten Jerven' not in authors.json
S4-56,領導者的試煉,The CEO Test,Missing ISBN EN | Author Detailed Bio Missing
S4-57,工作的藝術,The Art of Work,Missing ISBN EN | Author 'Jeff Goins' not in authors.json
S4-58,新一分鐘經理人,The New One Minute Manager,Missing ISBN EN | Author Detailed Bio Missing
S4-59,學會領導：馬提斯從戰場與戰略規劃養成的管理學,Call Sign Chaos,Missing ISBN EN | Author 'Jim Mattis' not in authors.json
S4-60,上位思維,The Leap to Leader,Missing ISBN EN | Author Detailed Bio Missing
S4-61,最後吃，才是真領導,Leaders Eat Last,Missing ISBN EN
S4-62,從內做起：發展自己的領導力,Developing the Leader Within You,Missing ISBN EN
S4-63,切換你的大腦,Switch On Your Brain,Missing ISBN EN | Author 'Dr. Caroline Leaf' not in authors.json
S4-64,最後一次相遇，我們只談喜悅,The Book of Joy,Missing ISBN EN | Author 'Dalai Lama' not in authors.json
S4-65,放意人生,The Fun Habit,Missing ISBN EN | Author 'Mike Rucker' not in authors.json
S4-66,食物情緒解決方案,The Food-Mood Solution,Missing ISBN EN | Author 'Jack Challem' not in authors.json
S4-67,照亮憂鬱黑洞的一束光：重新與世界連結走出藍色深海,Lost Connections,Missing ISBN EN
S4-68,輕盈,Lighter,Missing ISBN EN | Author 'Yung Pueblo' not in authors.json
S4-69,跳出我的腦袋：給焦慮世界中過度思考者的啟示,Get Out of My Head,Missing ISBN EN | Author 'Meredith Arthur' not in authors.json
S4-70,象與騎象人：全球百大思想家的正向心理學經典,The Happiness Hypothesis,Missing ISBN EN | Author Detailed Bio Missing
S4-71,掌握你的信念,Master Your Beliefs,Missing ISBN EN | Author Detailed Bio Missing
S4-72,掌握你的命運,Master Your Destiny,Missing ISBN EN | Author Detailed Bio Missing
S4-73,為什麼你有情緒？：認識情緒，才認識自己,Master Your Emotions,Missing ISBN EN | Author Detailed Bio Missing
S4-74,掌握你的學習,Master Your Learning,Missing ISBN EN | Author Detailed Bio Missing
S4-75,掌握你的思維,Master Your Thinking,Missing ISBN EN | Author Detailed Bio Missing
S4-76,多巴胺排毒,Dopamine Detox,Missing ISBN EN | Author Detailed Bio Missing
S4-77,心理韌性,Mental Toughness,Missing ISBN EN | Author 'Annette Tower' not in authors.json
S4-78,心智圖大師,Mind Map Mastery,Missing ISBN EN | Author 'Tony Buzan' not in authors.json
S4-79,重塑你的心態,Mind Your Mindset,Missing ISBN EN | Author 'Michael Hyatt' not in authors.json
S4-80,記憶力：與愛因斯坦在月球漫步,Moonwalking with Einstein,Missing ISBN EN | Author Detailed Bio Missing
S4-81,心智之書,The Book of Minds,Missing ISBN EN | Author 'Philip Ball' not in authors.json
VS-12,代謝,Metabolical,Missing ISBN ZH
VS-21,超高效學習,Learn Like a Pro,Missing ISBN ZH
VS-22,人的心,Psych - The Story of Human Mind,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VS-23,48小時內 都學會  How to Learn Almost Anything in 48,Hours,Missing ISBN ZH | Author Detailed Bio Missing
VS-24,自我控管的藝術,Never Betray Your Efforts,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VS-25,金字塔心智模式,The Pyramid Mind,Missing ISBN ZH | Missing ISBN EN
VS-26,高效思考的五個要素 The 5,Elements of Effective Thinking,Missing ISBN ZH | Author Detailed Bio Missing
VS-27,關於癌症，我們是否治療太多，知道太少,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VS-28,天生就會跑,Born To Run,Missing ISBN ZH | Author Detailed Bio Missing
VS-29,練腦求成,Train Your Brain For Success,Missing ISBN EN
VS-30,治癒,Heal Discover Your Unlimited Potential and Awaken the Powerful Healer Within,Missing ISBN ZH | Author Detailed Bio Missing
VS-31,The Art of Creative Thinking,The Art of Creative Thinking,Missing ISBN ZH | Author Detailed Bio Missing
VS-32,The Art of Explanation,The Art of Explanation,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VS-33,The Art of Laziness,The Art of Laziness  Overcome Procrastination,Missing ISBN EN | Author Detailed Bio Missing
VS-34,控制力,Deep Thinking,Missing ISBN ZH | Author Detailed Bio Missing
VS-36,假性親密關係,Why are we Together without Intimacy,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VS-37,Outlive,Outlive - The Science and Art of Longivity,Missing ISBN EN | Author Detailed Bio Missing
VS-38,破框思維的技術,Think Bigger,Missing ISBN EN | Author Detailed Bio Missing
VS-39,人性賽局,Hidden Games,Missing ISBN ZH | Author Detailed Bio Missing
VS-40,思考之道   考え方  人生．仕事の結果が変わる,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN
VS-41,超速進步,Get Better at Anything   Scott H  Young,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VS-42,晤談的力量 陳恆霖,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VW-01,C 別幫部屬養猴子,Monkey Business,Missing ISBN ZH | Author Detailed Bio Missing
VW-02,C 改變心意的字句/話語,Words That Change Minds,Missing ISBN ZH | Author Detailed Bio Missing
VW-03,C 無限記憶,Unlimited Memory,Missing ISBN ZH | Author Detailed Bio Missing
VW-04,燃燒：揭開大腦、演化與身體代謝之謎,Small Business Management,Missing ISBN ZH
VW-05,C 如何當擇你的生命,How to Take Charge of Your Life,Missing ISBN ZH | Author Detailed Bio Missing
VW-07,C 詢問更多,Ask for More,Missing ISBN ZH | Author Detailed Bio Missing
VW-08,VW 08 Anointed - Why Status Matters More Than Talent,C 受膏者 Anointed 標籤比品質更重要,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VW-09,VW 09 Loyalty rules!,C 忠誠王道 Loyalty rules! 忠誠度讓獲利翻倍,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VW-10,C 第五項修練 實戰手冊,The Fifth Discipline Fieldbook,Missing ISBN ZH | Author Detailed Bio Missing
S4-82,心智的框架：多元智能理論,Frames of Mind,Missing ISBN EN | Author 'Howard Gardner' not in authors.json
S4-83,如何記住任何事,How to Remember Anything,Missing ISBN EN | Author 'Dean Vaughn' not in authors.json
S4-84,超牢記憶法,Make It Stick,Missing ISBN EN | Author 'Peter C. Brown' not in authors.json
S4-85,心靈魔法,Mind Magic,Missing ISBN EN | Author 'James R. Doty' not in authors.json
S4-86,你可能學錯了,Outsmart Your Brain,Missing ISBN EN | Author 'Daniel T. Willingham' not in authors.json
S4-87,自信心態,The Confident Mind,Missing ISBN EN | Author 'Dr. Nate Zinsser' not in authors.json
S4-88,在大腦外思考,The Extended Mind,Missing ISBN EN | Author 'Annie Murphy Paul' not in authors.json
S4-89,自律的力量,The Power of Discipline,Missing ISBN EN | Author 'Daniel Walter' not in authors.json
S4-90,樂趣的力量,The Power of Fun,Missing ISBN EN | Author 'Catherine Price' not in authors.json
S4-91,The Power of Your Potential,The Power of Your Potential,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English
S4-92,潛意識的力量,The Power of Your Subconscious Mind,Missing ISBN EN | Author 'Joseph Murphy' not in authors.json
S4-93,安靜，就是力量：內向者如何發揮積極的力量,Quiet: The Power of Introverts,Missing ISBN EN | Author 'Susan Cain' not in authors.json
S4-94,The Art of Quiet Influence,The Art of Quiet Influence,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Jocelyn Davis' not in authors.json
S4-95,The Secret Lives of Introverts,The Secret Lives of Introverts,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Jenn Granneman' not in authors.json
S4-96,Winning the War in Your Mind,Winning the War in Your Mind,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Craig Groeschel' not in authors.json
S4-97,麻省理工全能表達課：人工智慧先驅40年熱門課，掌握基本功，簡潔有力說服任何人,Make It Clear,Missing ISBN EN | Author 'Patrick Henry Winston' not in authors.json
S4-98,技能密碼：MIT博士教你從似懂非懂到穩定輸出,The Skill Code,Missing ISBN EN | Author 'Matt Beane' not in authors.json
S4-99,像火箭科學家一樣思考：9大策略，翻轉你的事業與人生,Think Like a Rocket Scientist,Missing ISBN EN
S4-100,三禧思維：亂世解決問題、活得更好的科學思考工具！,Third Millennium Thinking,Missing ISBN EN | Author 'Saul Perlmutter' not in authors.json
S4-101,世界，沒你想的那麼糟：達爾文也喊Yes的樂觀演化,The Rational Optimist,Missing ISBN EN | Author 'Matt Ridley' not in authors.json
S4-102,The Science of Self-Learning,The Science of Self-Learning,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author Detailed Bio Missing
S4-103,Yes Brain！和孩子一起說好！：正向思考的大腦：培養具有膽識、好奇心以及韌性的孩子,The Yes Brain,Missing ISBN EN | Author 'Daniel J. Siegel' not in authors.json
S4-104,溝通的黃金法則：有效領導×順利提案×成功推銷,The 16 Undeniable Laws of Communication,Missing ISBN EN
S4-105,你都沒在聽：科技讓交談愈來愈容易，人卻愈來愈不會聆聽。聆聽不但給別人慰藉，也給自己出路,You're Not Listening,Missing ISBN EN | Author 'Kate Murphy' not in authors.json
S4-106,No Ego,No Ego,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Cy Wakeman' not in authors.json
S4-107,過度飲食心理學：當人生只剩下吃是唯一慰藉,The Psychology of Overeating,Missing ISBN EN | Author 'Kima Cargill' not in authors.json
S4-108,開啟你的驚人天賦：科學證實你能活出極致美好的人生狀態,Becoming Supernatural,Missing ISBN EN | Author 'Dr. Joe Dispenza' not in authors.json
S4-109,贏回自主人生，終結過勞崇拜：擺脫有毒工作思維，重啟生活與事業高峰的改變之書,Win at Work and Succeed at Life,Missing ISBN EN | Author 'Michael Hyatt' not in authors.json
S4-110,你與世界的10個方程式：把大問題變小問題，用大數據＋數學理解現代社會的運作模式,The Ten Equations That Rule the World,Missing ISBN EN | Author 'David Sumpter' not in authors.json
S4-111,世界秩序：季辛吉論國際正義、國家利益與全球架構,World Order,Missing ISBN EN | Author 'Henry Kissinger' not in authors.json
S4-112,數位帝國：全球科技監理之戰,Digital Empires,Missing ISBN EN | Author 'Anu Bradford' not in authors.json
S4-113,當我離開家之後：我所受的教育，如何成為我人生最艱困的一場練習(新版),Educated,Missing ISBN EN | Author 'Tara Westover' not in authors.json
S4-114,正念教養培育好人：一堂不必生氣、走出困局的親子必修課,Raising Good Humans Every Day,Missing ISBN EN | Author 'Hunter Clarke-Fields' not in authors.json
S4-115,過動兒父母完全指導手冊,ADHD,Missing ISBN EN | Author 'Paul H. Wender' not in authors.json
S4-116,Exploratory Writing,Exploratory Writing,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Alison Jones' not in authors.json
S4-117,Moving On Doesn't Mean Letting Go,Moving On Doesn't Mean Letting Go,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Gina Moffa' not in authors.json
S4-118,沒有不好的你：風行全球的內在家庭系統IFS，徹底翻轉你我的生命,No Bad Parts,Missing ISBN EN | Author 'Richard C. Schwartz' not in authors.json
S4-119,是情緒糟，不是你很糟：穿透憂鬱的內觀力量,The Mindful Way through Depression,Missing ISBN EN | Author 'Mark Williams' not in authors.json
S4-120,內在恆定：順應天性的完美主義是一種優勢,The Perfectionist's Guide to Losing Control,Missing ISBN EN | Author 'Katherine Morgan Schafler' not in authors.json
S4-121,你發生過什麼事：關於創傷如何影響大腦與行為，以及我們能如何療癒自己,What Happened to You,Missing ISBN EN | Author 'Oprah Winfrey' not in authors.json
S4-122,When Bad Thinking Happens to Good People,When Bad Thinking Happens to Good People,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Steven Nadler' not in authors.json
S4-123,This Is Strategy,This Is Strategy,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English
S4-124,樹的祕密生命：帶你窺探樹木如何潛心溝通、感知情感及相互照顧,The Hidden Life of Trees,Missing ISBN EN | Author 'Peter Wohlleben' not in authors.json
S4-125,人性18法則：認識自己、透視他人，解碼人類行為第一專書,The Laws of Human Nature,Missing ISBN EN
S4-126,How to Work with Complicated People,How to Work with Complicated People,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'Ryan Leak' not in authors.json
S4-127,101 Creative Problem Solving Techniques,101 Creative Problem Solving Techniques,Missing ISBN ZH | Missing ISBN EN | S4 Title CN is probably English | Author 'James M. Higgins' not in authors.json
S4-128,教養，從跟孩子的情緒做朋友開始：孩子鬧脾氣，正是開發全腦的好時機,No-Drama Discipline,Missing ISBN EN | Author 'Daniel J. Siegel' not in authors.json
S4-129,會好起來的，就算不是現在,I Used to Have a Plan_ But Life had other Ideas,Missing ISBN EN | Author 'Alessandra Olanow' not in authors.json
S4-130,權力與進步：科技變革與共享繁榮之間的千年辯證,Power and Progress,Missing ISBN EN | Author 'Daron Acemoglu' not in authors.json
VS-35,VS-35 海權爭霸,Sea Power and Maritime Geopolitics,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VS-20,VS-20 怦然心動的人生整理魔法,The Life Changing Magic of Tidy,Missing ISBN EN
VS-19,VS-19 怦然心動,Spark Joy,Missing ISBN EN
VS-18,VS-18 我們為什麼會被騙,Nobody's Fool,Missing ISBN ZH | Author Detailed Bio Missing
VS-17,VS-17 系統思考,Thinking in System,Missing ISBN ZH | Author Detailed Bio Missing
VS-16,VS-16 改變現在的你，迎向未來的你,Your Future Self,Missing ISBN ZH | Author Detailed Bio Missing
VS-15,VS-15 專注力協定Indistractable -,Nir Eyal,Missing ISBN ZH
VS-14,LIT - 哈佛專注力革命,VS-14 完全沉浸 LIT - 點燃成功之火的哈佛專注力革命,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VS-13,VS-13 能量的悖論,Energy Paradox,Missing ISBN ZH | Author Detailed Bio Missing
VS-11,VS-11 天生不愛動,Exercised,Missing ISBN ZH | Author Detailed Bio Missing
VS-10,我們為何吃太多？,Why We Eat (Too Much): The New Science of Appetite,Missing ISBN ZH | Author Detailed Bio Missing
VS-09,改造新陳代謝,The Metabolism Makeover,Missing ISBN ZH | Author 'Megan Hansen' not in authors.json
VS-08,科學減脂X瘦身全書,Everything About Fat Loss,Missing ISBN EN | Author Detailed Bio Missing
VS-07,身體：給佔有者的使用說明書,The Body: A Guide for Occupants,Missing ISBN ZH
VS-06,燃燒吧！卡路里,"Burn: New Science Reveals How We Really Burn Calories, Lose Weight, and Stay Healthy",Missing ISBN ZH
VS-05,控糖革命,Glucose Revolution: The Life-Changing Power of Balancing Your Blood Sugar,Missing ISBN ZH | Author Detailed Bio Missing
VS-04,大自然就是要你胖,Nature Wants Us to Be Fat: The Surprising Science of Why We Gain Weight,Missing ISBN ZH | Author Detailed Bio Missing
VS-03,斷食全書,"The Complete Guide to Fasting: Heal Your Body Through Intermittent, Alternate-Day, and Extended Fasting",Missing ISBN ZH
VS-02,癮食習慣,The Hunger Habit: Why We Eat When We're Not Hungry and How to Stop,Missing ISBN ZH
VS-01,The Model Thinker,VS-01 The Model Thinker 多模型思維：天才的32個思考策略,Missing ISBN EN | Author Detailed Bio Missing
VW-06C,VW-06C  從飄移到駕駛,From Drift to Drive,Missing ISBN EN
VS-21,Learn Like a Pro,,Missing Title EN | Missing ISBN EN
VS-43+,企業傳承與接班實務,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN
VS-44+,Coach 領導學 (Plus),,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VS-44,Coach 領導學,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
VW-19,癮食劫,Hijacked: How Food Can Hijack Your Brain,Missing ISBN ZH
VW-18,簡單破壞現場手冊,Simple Sabotage Field Manual,Missing ISBN ZH | Author Detailed Bio Missing
VW-17,像火箭科學家一樣思考,Think Like a Rocket Scientist,Missing ISBN ZH
VW-16,餐巾紙的背面,The Back of the Napkin,Missing ISBN ZH
VW-15,清晰思考,Clear Thinking,Missing ISBN ZH
VW-14,極度責任,Extreme Ownership,Missing ISBN ZH
VW-13,80/20 法則,The 80/20 Principle,Missing ISBN ZH
VW-12,規模化,Scaling Up,Missing ISBN ZH
VW-11,高效對話,Powerful Conversations,Missing ISBN ZH
VW-06,從飄移到駕駛,From Drift to Drive,Missing ISBN ZH
